NON_TARGET	Y	0.23826714801444	132	422
NON_TARGET		0.1	4	36
TARGET	Y	0.274787535410765	97	256
TARGET		0.161825726141079	39	202
BONE		0.101449275362319	7	62
BONE	Y	0.245714285714286	129	396
RECTAL		0.229342327150084	136	457
RECTAL	Y	0		1
LYMPH_NODES	Y	0.265625	85	235
LYMPH_NODES		0.186131386861314	51	223
KIDNEYS		0.229202037351443	135	454
KIDNEYS	Y	0.2	1	4
LUNGS	Y	0.341176470588235	29	56
LUNGS		0.210216110019646	107	402
LIVER		0.209345794392523	112	423
LIVER	Y	0.406779661016949	24	35
PLEURA		0.222030981067126	129	452
PLEURA	Y	0.538461538461538	7	6
OTHER		0.228668941979522	134	452
OTHER	Y	0.25	2	6
PROSTATE		0.232931726907631	116	382
PROSTATE	Y	0.208333333333333	20	76
ADRENAL		0.221837088388215	128	449
ADRENAL	Y	0.470588235294118	8	9
BLADDER		0.230240549828179	134	448
BLADDER	Y	0.166666666666667	2	10
PERITONEUM		0.228279386712095	134	453
PERITONEUM	Y	0.285714285714286	2	5
SOFT_TISSUE		0.227194492254733	132	449
SOFT_TISSUE	Y	0.307692307692308	4	9
ORCHIDECTOMY	Y	0.269503546099291	38	103
ORCHIDECTOMY		0.216335540838852	98	355
PROSTATECTOMY		0.234338747099768	101	330
PROSTATECTOMY	Y	0.214723926380368	35	128
TURP	Y	0.226415094339623	12	41
TURP		0.229205175600739	124	417
LYMPHADENECTOMY		0.233067729083665	117	385
LYMPHADENECTOMY	Y	0.206521739130435	19	73
SPINAL_CORD_SURGERY		0.22972972972973	136	456
SPINAL_CORD_SURGERY	Y	0		2
BILATERAL_ORCHIDECTOMY	Y	0.266187050359712	37	102
BILATERAL_ORCHIDECTOMY		0.217582417582418	99	356
PRIOR_RADIOTHERAPY		0.248148148148148	67	203
PRIOR_RADIOTHERAPY	Y	0.212962962962963	69	255
ANALGESICS		0.185096153846154	77	339
ANALGESICS	YES	0.331460674157303	59	119
ANTI_ANDROGENS	YES	0.225688073394495	123	422
ANTI_ANDROGENS		0.26530612244898	13	36
GLUCOCORTICOID		0.237647058823529	101	324
GLUCOCORTICOID	YES	0.207100591715976	35	134
GONADOTROPIN		0.293478260869565	27	65
GONADOTROPIN	YES	0.217131474103586	109	393
BISPHOSPHONATE		0.222551928783383	75	262
BISPHOSPHONATE	YES	0.237354085603113	61	196
CORTICOSTEROID		0.232227488151659	98	324
CORTICOSTEROID	YES	0.22093023255814	38	134
IMIDAZOLE		0.235507246376812	130	422
IMIDAZOLE	YES	0.142857142857143	6	36
ACE_INHIBITORS		0.228448275862069	106	358
ACE_INHIBITORS	YES	0.230769230769231	30	100
BETA_BLOCKING		0.227926078028747	111	376
BETA_BLOCKING	YES	0.233644859813084	25	82
HMG_COA_REDUCT		0.245243128964059	116	357
HMG_COA_REDUCT	YES	0.165289256198347	20	101
ESTROGENS		0.235294117647059	120	390
ESTROGENS	YES	0.19047619047619	16	68
ANTI_ESTROGENS		0.229059829059829	134	451
ANTI_ESTROGENS	YES	0.222222222222222	2	7
ARTTHROM		0.22972972972973	136	456
ARTTHROM	Y	0		2
CEREBACC		0.230240549828179	134	448
CEREBACC	Y	0.166666666666667	2	10
CHF		0.224872231686542	132	455
CHF	Y	0.571428571428571	4	3
DVT		0.232235701906412	134	443
DVT	Y	0.117647058823529	2	15
DIAB		0.208924949290061	103	390
DIAB	Y	0.326732673267327	33	68
GASTREFL		0.23050259965338	133	444
GASTREFL	Y	0.176470588235294	3	14
GIBLEED		0.231164383561644	135	449
GIBLEED	Y	0.1	1	9
MI		0.221428571428571	124	436
MI	Y	0.352941176470588	12	22
PUD		0.229591836734694	135	453
PUD	Y	0.166666666666667	1	5
PULMEMB		0.228668941979522	134	452
PULMEMB	Y	0.25	2	6
PATHFRAC		0.229342327150084	136	457
PATHFRAC	Y	0		1
SPINCOMP		0.229591836734694	135	453
SPINCOMP	Y	0.166666666666667	1	5
COPD		0.226027397260274	132	452
COPD	Y	0.4	4	6
MHBLOOD		0.228621291448517	131	442
MHBLOOD	YES	0.238095238095238	5	16
MHCARD		0.211416490486258	100	373
MHCARD	YES	0.297520661157025	36	85
MHCONGEN		0.22680412371134	132	450
MHCONGEN	YES	0.333333333333333	4	8
MHEAR		0.236933797909408	136	438
MHEAR	YES	0		20
MHENDO		0.234782608695652	135	440
MHENDO	YES	0.0526315789473684	1	18
MHEYE		0.229129662522202	129	434
MHEYE	YES	0.225806451612903	7	24
MHGASTRO		0.222488038277512	93	325
MHGASTRO	YES	0.244318181818182	43	133
MHGEN		0.208984375	107	405
MHGEN	YES	0.353658536585366	29	53
MHHEPATO		0.226713532513181	129	440
MHHEPATO	YES	0.28	7	18
MHIMMUNE		0.226252158894646	131	448
MHIMMUNE	YES	0.333333333333333	5	10
MHINFECT		0.224761904761905	118	407
MHINFECT	YES	0.260869565217391	18	51
MHINJURY		0.23191094619666	125	414
MHINJURY	YES	0.2	11	44
MHINVEST		0.234615384615385	122	398
MHINVEST	YES	0.189189189189189	14	60
MHMETAB		0.221311475409836	81	285
MHMETAB	YES	0.241228070175439	55	173
MHMUSCLE		0.235449735449735	89	289
MHMUSCLE	YES	0.217592592592593	47	169
MHNEOPLA		0.232727272727273	128	422
MHNEOPLA	YES	0.181818181818182	8	36
MHNERV		0.22972972972973	119	399
MHNERV	YES	0.223684210526316	17	59
MHPSYCH		0.21969696969697	116	412
MHPSYCH	YES	0.303030303030303	20	46
MHRENAL		0.217672413793103	101	363
MHRENAL	YES	0.269230769230769	35	95
MHRESP		0.217221135029354	111	400
MHRESP	YES	0.301204819277108	25	58
MHSKIN		0.229129662522202	129	434
MHSKIN	YES	0.225806451612903	7	24
MHSOCIAL	YES	0.204419889502762	37	144
MHSOCIAL		0.239709443099274	99	314
MHSURG		0.233618233618234	82	269
MHSURG	YES	0.222222222222222	54	189
MHVASC		0.233606557377049	57	187
MHVASC	YES	0.225714285714286	79	271
