BONE	Y	0.272321428571429	61	163
BONE		0.244186046511628	21	65
LYMPH_NODES		0.281553398058252	58	148
LYMPH_NODES	Y	0.230769230769231	24	80
LUNGS		0.267326732673267	81	222
LUNGS	Y	0.142857142857143	1	6
LIVER		0.266233766233766	82	226
LIVER	Y	0		2
OTHER		0.263698630136986	77	215
OTHER	Y	0.277777777777778	5	13
ORCHIDECTOMY		0.253676470588235	69	203
ORCHIDECTOMY	Y	0.342105263157895	13	25
PROSTATECTOMY		0.320388349514563	66	140
PROSTATECTOMY	Y	0.153846153846154	16	88
TURP		0.239285714285714	67	213
TURP	Y	0.5	15	15
LYMPHADENECTOMY		0.268211920529801	81	221
LYMPHADENECTOMY	Y	0.125	1	7
PRIOR_RADIOTHERAPY	Y	0.247474747474747	49	149
PRIOR_RADIOTHERAPY		0.294642857142857	33	79
ANALGESICS	YES	0.294736842105263	28	67
ANALGESICS		0.251162790697674	54	161
ANTI_ANDROGENS	YES	0.258992805755396	72	206
ANTI_ANDROGENS		0.3125	10	22
GLUCOCORTICOID	YES	0.233333333333333	49	161
GLUCOCORTICOID		0.33	33	67
GONADOTROPIN	YES	0.24468085106383	69	213
GONADOTROPIN		0.464285714285714	13	15
BISPHOSPHONATE		0.308510638297872	58	130
BISPHOSPHONATE	YES	0.19672131147541	24	98
CORTICOSTEROID		0.261744966442953	78	220
CORTICOSTEROID	YES	0.333333333333333	4	8
IMIDAZOLE		0.2734375	70	186
IMIDAZOLE	YES	0.222222222222222	12	42
ACE_INHIBITORS		0.265060240963855	66	183
ACE_INHIBITORS	YES	0.262295081967213	16	45
BETA_BLOCKING		0.265822784810127	63	174
BETA_BLOCKING	YES	0.26027397260274	19	54
HMG_COA_REDUCT		0.28921568627451	59	145
HMG_COA_REDUCT	YES	0.216981132075472	23	83
ESTROGENS		0.272413793103448	79	211
ESTROGENS	YES	0.15	3	17
ARTTHROM		0.266233766233766	82	226
ARTTHROM	Y	0		2
CEREBACC		0.266891891891892	79	217
CEREBACC	Y	0.214285714285714	3	11
CHF		0.257425742574257	78	225
CHF	Y	0.571428571428571	4	3
DVT		0.259259259259259	77	220
DVT	Y	0.384615384615385	5	8
DIAB		0.264591439688716	68	189
DIAB	Y	0.264150943396226	14	39
GASTREFL		0.265454545454545	73	202
GASTREFL	Y	0.257142857142857	9	26
GIBLEED		0.26158940397351	79	223
GIBLEED	Y	0.375	3	5
MI		0.260416666666667	75	213
MI	Y	0.318181818181818	7	15
PUD		0.266447368421053	81	223
PUD	Y	0.166666666666667	1	5
PULMEMB		0.263157894736842	80	224
PULMEMB	Y	0.333333333333333	2	4
PATHFRAC		0.258389261744966	77	221
PATHFRAC	Y	0.416666666666667	5	7
SPINCOMP		0.266447368421053	81	223
SPINCOMP	Y	0.166666666666667	1	5
MHCARD		0.252669039145907	71	210
MHCARD	YES	0.379310344827586	11	18
MHGASTRO		0.268939393939394	71	193
MHGASTRO	YES	0.239130434782609	11	35
MHMETAB		0.264591439688716	68	189
MHMETAB	YES	0.264150943396226	14	39
MHMUSCLE		0.258389261744966	77	221
MHMUSCLE	YES	0.416666666666667	5	7
MHNERV		0.268965517241379	78	212
MHNERV	YES	0.2	4	16
MHRESP		0.263157894736842	80	224
MHRESP	YES	0.333333333333333	2	4
MHVASC		0.260135135135135	77	219
MHVASC	YES	0.357142857142857	5	9
